"ComposePostService"	"UserService"	"Reference"	"TextService"	"UrlShortenService"	"UserMentionService"
"0"	"2"	"0"	"1"	"1"	"2"
"1"	"0"	"2"	"7"	"1"	"3"
"0"	"0"	"0"	"1"	"4"	"0"
"2"	"0"	"0"	"2"	"0"	"0"
"2"	"0"	"2"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"0"	"0"
