"ComposePostService"	"UserService"	"Reference"	"TextService"	"UrlShortenService"	"UserMentionService"
"0"	"0"	"0"	"0"	"2"	"1"
"0"	"0"	"2"	"4"	"0"	"2"
"0"	"0"	"0"	"2"	"6"	"0"
"2"	"0"	"0"	"2"	"0"	"0"
"1"	"0"	"2"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"0"	"0"
