"ComposePostService"	"UserService"	"Reference"	"TextService"	"UrlShortenService"	"UserMentionService"
"0"	"2"	"0"	"1"	"2"	"2"
"2"	"0"	"2"	"10"	"2"	"4"
"0"	"0"	"0"	"2"	"8"	"0"
"2"	"0"	"0"	"2"	"0"	"0"
"2"	"0"	"2"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"0"	"0"
