"ComposePostService"	"UserService"	"Reference"	"TextService"	"UrlShortenService"	"UserMentionService"
"0"	"1"	"0"	"2"	"2"	"2"
"2"	"0"	"2"	"10"	"2"	"3"
"0"	"0"	"0"	"1"	"8"	"0"
"2"	"0"	"0"	"0"	"0"	"0"
"1"	"0"	"2"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"0"	"0"
