"ComposePostService"	"MediaService"	"UserService"	"Reference"	"TextService"	"UniqueIdService"	"UserMentionService"
"0"	"0"	"1"	"0"	"0"	"1"	"0"
"0"	"0"	"0"	"1"	"0"	"0"	"0"
"0"	"0"	"0"	"1"	"2"	"0"	"1"
"1"	"0"	"0"	"1"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"1"	"0"	"0"
"1"	"0"	"0"	"1"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"0"	"0"	"0"
