"ComposePostService"	"MediaService"	"UserService"	"Reference"	"TextService"	"UniqueIdService"	"UrlShortenService"	"UserMentionService"
"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"
"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"
"1"	"0"	"0"	"1"	"5"	"0"	"1"	"1"
"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"1"	"0"	"4"	"0"
"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"
"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
