"ComposePostService"	"MediaService"	"PostStorageService"	"Reference"	"TextService"	"UniqueIdService"	"UrlShortenService"	"UserMentionService"	"UserService"	"UserTimelineService"
12	2	2	0	2	2	2	2	2	2
2	0	0	2	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0
0	2	0	0	2	2	0	0	2	0
0	0	0	2	10	0	2	3	0	0
2	0	0	2	0	0	0	0	0	0
0	0	0	0	2	0	8	0	0	0
2	0	0	0	2	0	0	0	0	0
2	0	0	2	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0
