"ComposePostService"	"MediaService"	"PostStorageService"	"Reference"	"TextService"	"UniqueIdService"	"UrlShortenService"	"UserMentionService"	"UserService"	"UserTimelineService"
12	1	2	0	2	1	2	2	2	2
1	0	0	1	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0
0	1	0	0	1	1	0	0	1	0
0	0	0	2	10	0	2	4	0	0
1	0	0	1	0	0	0	0	0	0
0	0	0	0	2	0	8	0	0	0
2	0	0	0	2	0	0	0	0	0
2	0	0	2	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0
