"ComposePostService"	"MediaService"	"PostStorageService"	"Reference"	"TextService"	"UniqueIdService"	"UrlShortenService"	"UserMentionService"	"UserService"	"UserTimelineService"
6	1	1	0	1	1	1	1	1	1
0	0	0	1	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0
0	1	0	0	1	0	0	0	1	0
1	0	0	1	5	0	1	1	0	0
1	0	0	1	0	0	0	0	0	0
0	0	0	0	1	0	4	0	0	0
1	0	0	0	1	0	0	0	0	0
1	0	0	1	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0
