,id,operation,thread,service,hrt,arrival,agent,parent_id,parent1,parent2
0,69C3907CBACC9569,set,-1476124745,Reference,1559834404401643859,2019-06-06 10:20:04.401644,thread_local_baggage.cpp,,,
2,4F02005627D19CA3,,-1476124745,Reference,1559834404401877659,2019-06-06 10:20:04.401878,StartTrace,['69C3907CBACC9569'],69C3907CBACC9569,
7,E62A722AFFCAF459,,-1476124745,Reference,1559834404402092342,2019-06-06 10:20:04.402092,luaxtrace.cpp,['4F02005627D19CA3'],4F02005627D19CA3,
6,B4A53C091D719EE5,fork,-1476124745,Reference,1559834404402492045,2019-06-06 10:20:04.402492,lua_baggage.cpp,['E62A722AFFCAF459'],E62A722AFFCAF459,
1,D00D5993126A25B9,,582310243,UserService,1559834404403211070,2019-06-06 10:20:04.403211,UserHandler.h,['B4A53C091D719EE5'],B4A53C091D719EE5,
5,E3B8A9C4836DFDCD,,582310243,UserService,1559834404406178181,2019-06-06 10:20:04.406178,UserHandler.h,['D00D5993126A25B9'],D00D5993126A25B9,
3,FF6C52AECCD3A7E1,,-1476124745,Reference,1559834404407434252,2019-06-06 10:20:04.407434,luaxtrace.cpp,['B4A53C091D719EE5'],B4A53C091D719EE5,
4,97C933822B17D2D4,unset,-1476124745,Reference,1559834404407725312,2019-06-06 10:20:04.407725,lua_baggage.cpp,['FF6C52AECCD3A7E1'],FF6C52AECCD3A7E1,
