,id,operation,thread,service,hrt,arrival,agent,parent_id,parent1,parent2
36,82283074C10D6DDE,,1591669400,UserService,1559749321167319630,2019-06-05 10:42:01.167320,UserHandler.h,['8D812EA3808B358C'],8D812EA3808B358C,
34,962C2385972BF4F8,,1700530225,SocialGraphService,1559749321167413765,2019-06-05 10:42:01.167414,ClientPool.h,['0CBAA9C175F88D50'],0CBAA9C175F88D50,
37,8AD5D418E1DF509E,,1700530225,SocialGraphService,1559749321167598656,2019-06-05 10:42:01.167599,ClientPool.h,['962C2385972BF4F8'],962C2385972BF4F8,
38,A7F0BC952D7CCE6D,,1591669400,UserService,1559749321167880401,2019-06-05 10:42:01.167880,UserHandler.h,['82283074C10D6DDE'],82283074C10D6DDE,
41,4C1706654981D2FD,,1700530225,SocialGraphService,1559749321167974906,2019-06-05 10:42:01.167975,ClientPool.h,['8AD5D418E1DF509E'],8AD5D418E1DF509E,
39,6921EB2CD28C62C6,,1591669400,UserService,1559749321168173326,2019-06-05 10:42:01.168173,UserHandler.h,['A7F0BC952D7CCE6D'],A7F0BC952D7CCE6D,
40,D0244B36BA7F6618,unset,1591669400,UserService,1559749321168384841,2019-06-05 10:42:01.168385,UserHandler.h,['6921EB2CD28C62C6'],6921EB2CD28C62C6,
42,03C63900D7DF9609,,1700530225,SocialGraphService,1559749321168624136,2019-06-05 10:42:01.168624,ClientPool.h,['4C1706654981D2FD'],4C1706654981D2FD,
43,91BE9E4219C23C63,unset,1700530225,SocialGraphService,1559749321168869239,2019-06-05 10:42:01.168869,SocialGraphHandler.h,['03C63900D7DF9609'],03C63900D7DF9609,
44,B234B1E47E57F593,fork,-882014914,SocialGraphService,1559749321169088539,2019-06-05 10:42:01.169089,SocialGraphHandler.h,"['357F377C0487736A', '6921EB2CD28C62C6']",357F377C0487736A,6921EB2CD28C62C6
45,1AC3AF79A462C232,fork,-930973644,SocialGraphService,1559749321169248929,2019-06-05 10:42:01.169249,SocialGraphHandler.h,"['888AEE3C848EDFAB', '91BE9E4219C23C63']",888AEE3C848EDFAB,91BE9E4219C23C63
46,34F7CBAA17942B01,,-882014914,SocialGraphService,1559749321169342234,2019-06-05 10:42:01.169342,ClientPool.h,['B234B1E47E57F593'],B234B1E47E57F593,
47,8847862BC026238F,,-882014914,SocialGraphService,1559749321170033359,2019-06-05 10:42:01.170033,ClientPool.h,['34F7CBAA17942B01'],34F7CBAA17942B01,
48,4D749B1AE927F55B,,-882014914,SocialGraphService,1559749321170489726,2019-06-05 10:42:01.170490,ClientPool.h,['8847862BC026238F'],8847862BC026238F,
49,6451EE248EC47F7C,,-882014914,SocialGraphService,1559749321170699208,2019-06-05 10:42:01.170699,ClientPool.h,['4D749B1AE927F55B'],4D749B1AE927F55B,
50,BF2FB457DE89D9EE,,-882014914,SocialGraphService,1559749321170879764,2019-06-05 10:42:01.170880,ClientPool.h,['6451EE248EC47F7C'],6451EE248EC47F7C,
51,BB446FA2E00DA402,unset,-882014914,SocialGraphService,1559749321171204703,2019-06-05 10:42:01.171205,SocialGraphHandler.h,['BF2FB457DE89D9EE'],BF2FB457DE89D9EE,
52,A1111D32D06A97C3,fork,-930973644,SocialGraphService,1559749321171921715,2019-06-05 10:42:01.171922,SocialGraphHandler.h,"['1AC3AF79A462C232', 'BB446FA2E00DA402']",1AC3AF79A462C232,BB446FA2E00DA402
53,E3F900873FEEAAA5,fork,-930973644,SocialGraphService,1559749321172168183,2019-06-05 10:42:01.172168,SocialGraphHandler.h,['A1111D32D06A97C3'],A1111D32D06A97C3,
54,FEFAF5775E9E9A01,,-930973644,SocialGraphService,1559749321172502897,2019-06-05 10:42:01.172503,SocialGraphHandler.h,['E3F900873FEEAAA5'],E3F900873FEEAAA5,
59,2C7776E2372CBC20,fork,-930973644,SocialGraphService,1559749321172751587,2019-06-05 10:42:01.172752,SocialGraphHandler.h,['FEFAF5775E9E9A01'],FEFAF5775E9E9A01,
58,D9BABC6E5AA8F9A1,fork,-930973644,SocialGraphService,1559749321173051612,2019-06-05 10:42:01.173052,SocialGraphHandler.h,['2C7776E2372CBC20'],2C7776E2372CBC20,
